"","Comp.1","Comp.2","Comp.3","Comp.4"
"Academic_Language..Low.Frequency.",0.257153644488135,0.190383303912786,0.0275810965161744,0.452890504876155
"Citation",0.0831736645008124,-0.0405808499458499,-0.187267308876505,0.0407945690167536
"Contingency",-0.0874832080111782,-0.0700642160468431,-0.207928516381294,0.00731070446626031
"Descriptive",0.10642473509301,0.0376456301407233,-0.120524849340832,-0.0774149523469207
"Directive",-0.0508656063903198,0.316748484143452,-0.092843137518272,-0.0967327466888376
"Elaborative_Syntax",0.364353457333269,-0.266622916809408,-0.0670152707656247,-0.0828661613547005
"Emotion_Positive",-0.0493465614501814,-0.250401973239692,0.113092692266961,0.0951052699684295
"Emotion_Negative",0.191910222615066,0.221323195676162,-0.107826179242172,-0.321108891035426
"Emotion_Surprise",-0.163074669288394,0.167352937526568,0.0650125909876546,-0.0183607919100595
"Expository_Devices",0.173431219056736,0.264169775857669,0.124233823637063,0.345960015418297
"FirstPerson",-0.302949980954971,-0.275074656654187,-0.0143334162254258,0.0975002065674468
"Forceful",-0.113941909231634,0.231202558263736,0.0323259823112748,0.0863068057819402
"Future",-0.147447529293163,0.0313562310729596,0.415279221438995,-0.0332400372856844
"Inquiry",-0.092801045574759,-0.0280304051664259,-0.201830809365378,0.17301637657743
"Interactive",-0.346934844065285,0.208719076900124,0.268619201351734,0.0168284957414817
"Metadiscourse",-0.0829174128167775,0.0242973643053404,-0.31355866972623,-0.0635887536916429
"Narrative",0.173489202973735,0.035721790332955,-0.263467720308745,-0.042739287239744
"Past",-0.0845483931150288,0.0174436609589026,-0.403902521072331,-0.0611096353768802
"Persons",-0.0601004866922362,0.132178554066111,-0.0279995999924963,-0.229828433680088
"Privy",-0.134240530484616,0.115392813309184,-0.303323108696058,-0.12500479840025
"Public",0.338379881853531,-0.106425023253122,0.0969435939178964,0.0946599924463007
"Reasoning",-0.317377116254033,-0.135806543950468,-0.156775716062548,0.185253905391505
"Relations_Positive",-0.0820923008183191,-0.190826134696281,0.276882374595597,-0.366823521913412
"Relations_Negative",0.0562336884906308,-0.162809889555203,0.0306826224108338,-0.333325794685245
"Reporting",0.173074100605522,0.142496252508192,0.0797472299301609,-0.065548130163908
"Strategic",0.124352228716735,-0.214134718470401,-0.00934716197239424,0.258178851796132
"Values_Positive",0.177065368218156,-0.339233318734485,0.0845058750318085,-0.0935838309816675
"Values_Negative",0.231438595103249,0.305852806916429,0.117438975604937,-0.209256675970955
